Success MB_Error,BRIC #1,BRIC #2,BRIC #3,BRIC #4,BRIC #5,BRIC #6,BRIC #7
wonizing| Status,Running,Running,Running,Running,Running,Synchronizing,Running
_ Heartbeat In,1,0,0,3,2,1,3
,4,4,4,4,4,4,4
kW 0.0 Active Power,kW -83.4),kW -83.6,kW -83.1,kW -83.6,kW -82.9),kW 0.0,kW -84.0)
0.0 Reactive Power,kVAR 02],kVAR 03],kVAR 08,kVAR 0.6,kVAR 0.4,kVAR 0.0,kVAR 0.4
kVA 0.0 Apparent Power,kVA 83.4,83.6,83.1,83.6,kVA 82.9,kVA 0.0,kVA 84.0
VAC 4.6 Line Volts Vab,VAC 607.0],VAC 609.7|,VAC 609.4|,VAC 610.5|,VAC 609.0],VAC a6,VAC 608.2|
VAC 3.9 Line Volts Vbc,VAC 608.1|,VAC 610.8|,VAC 609.7|,VAC,VAC 608.2|,VAC 3.9,VAC 608.7|
VAC 7.9 Line Volts Vca,VAC 609 .8|,VAC,VAC 607.9],VAC 610.7|,VAC 608.4|,VAC 79],VAC 610.3|
JAC 10.1 RMS Volts Va,VAC,VAC 353.0],VAC,VAC 352.8|,VAC 351.1|,VAC 10. 1,VAC 352.9]
JAC 13.3 RMS Volts Vb,VAC 350.7|,VAC,VAC,VAC 352.6,VAC 352.0],VAC 13.3],VAC 351.6
JAC 16.4 RMS Volts Vc,VAC 351.9],VAC 353.8|,VAC 351.4,VAC 352.7|,VAC,VAC,VAC 351.6
AAC 1 RMS Amps la,AAC 79,AAC 79,AAC 79,AAC 79,AAC 79,AAC 1,AAC 79
AAC 1 RMS Amps |b,AAC 79,AAC 79,AAC 79,AAC 79,AAC 79,AAC 1,AAC 79
AAC 1 RMS Amps Ic,AAC so,AAC 79,AAC 79,AAC 79,AAC 79,AAC 1,AAC so
Hz 0.00 Frequency,Hz 60.0 1,Hz 59.98|,Hz 60.00],Hz 60.0 1,Hz 59.99],Hz 0.00),Hz 60.00]
Input DC Volts,VDC 1170.21|,VDC 1174.06,VDC 1173.09],VDC,VDC 1174.06,VDC 1168.28|,VDC 1170.21|
C 588.35 DC Volts Pos,VDC 590.77],VDC 586.40,VDC 586.40,VDC 586.89],VDC 587.86,VDC 588.35],VDC 592.23]
C 588.35 DC Volts Neg,VDC 587.86,VDC 591.26,VDC 591.74,VDC 597.57,VDC 582.04),VDC 588.35,VDC 584.95
C 41.5 Max IGBT Temp,Cc 73.8,Cc 7138,Cc,Cc 73.1,Cc 65.0|,Cc 415|,Cc 66.7|
C 41.2 A1 |IGBT Temp,Cc 66.6|,Cc 7138,Cc 63.8|,Cc 64.3|,Cc 61.1|,Cc 412|,Cc 61.9|
C 40.1 A2 |GBT Temp,Cc 69.9|,Cc 71.1,Cc,Cc 69.4|,Cc 63.6|,C 40. 1,Cc 66.7|
C 39.0 B1 IGBT Temp,C 67.8,C 64.5,C 63.5,C 64.6,C 58.8,C 39.0),C 62.5
C 40.3 B2 IGBT Temp,Cc 73.7,Cc 69.6|,Cc 67.1|,Cc 73.2,Cc 64.0|,Cc 40.3|,Cc 62.2|
C 41.4 Temp,C 64.5,C 59.0),C 61.5,C 63.0),C 58.2,C 41.4,C 61.5
C 40.5 C2 IGBT Temp,Cc 70.6,Cc 62.4|,Cc 65.9|,Cc 69.4|,Cc 65.0|,Cc,Cc 65.8|
IC 1.649 1.65V Supply,VDC 1.650,VDC 1.652],VDC,VDC 1.649],VDC 1.649],VDC 1.649],VDC 1.65 1
C 39.6 Internal Temp,Cc 46.7|,Cc 38.6|,Cc 38.5|,Cc,Cc 39.2|,Cc 39.6|,Cc 39.4|
C -67.7 External Temp,C -67.4,C -67.8,C,C,C,C -67.7,C -67.8
C -67.3 Choke Temp,Cc 67.1|,Cc,Cc 66.5],Cc,Cc,Cc,Cc 67.6
